record_id,building_name,phone,default_building,building_shipping_address,building_billing_address
3081,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3080,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3079,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3078,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3077,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3076,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3075,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3074,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3073,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3072,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3071,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3070,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3069,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3068,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3067,Building One,1233211234,false,"641 Fairview Avenue Northeast, Grand Rapids, MI, 49503","641 Fairview Avenue Northeast, Grand Rapids, MI, 49503"
3064,Test Buiding Shyama 15th June,3333334444,false,"1900 Usa Parkway, Sparks, NV, 89437","1900 Usa Parkway, Sparks, NV, 89437"
3058,Test Maleja,6666666666,false,"19223 Mossy Pine Drive, Tampa, FL, 33647","19223 Mossy Pine Drive, Tampa, FL, 33647"
2795,South Point Elementary_,5555555556,false,"1900 13th Street Southeast, East Grand Forks, MN, 56721","1900 13th Street Southeast, East Grand Forks, MN, 56721"
2773,Test Maleja,7777777777,false,"19224 Autumn Woods Avenue, Tampa, FL, 33647","19224 Autumn Woods Avenue, Tampa, FL, 33647"
2647,123 TestMalejawjqnejqe,1111111112,false,"1237 Dayton Avenue, Saint Paul, MN, 55104","1237 Dayton Avenue, Saint Paul, MN, 55104"
2629,Raynes Administration,9724276000,false,"400 West Lewis Street, Crandall, TX, 75114","400 West Lewis Street, Crandall, TX, 75114"
2622,Test to address,7777777777,false,"19223 Autumn Woods Avenue, Tampa, FL, 33647","19223 Autumn Woods Avenue, Tampa, FL, 33647"
2489,Brookdale ES,3333333333,false,"2634 North Penn Avenue, Minneapolis, MN, 55411","2634 North Penn Avenue, Minneapolis, MN, 55411"
